Voltage (V),Current (A)
2.5300000000000002,9.229484e-07
2.54,9.292572e-07
2.5500000000000003,9.353248e-07
2.56,9.414063e-07
2.57,9.475037e-07
2.58,9.530518e-07
2.59,9.594768e-07
2.6,9.654981e-07
2.61,9.71788e-07
2.62,9.776595e-07
2.63,9.842936e-07
2.64,9.910257e-07
2.65,9.964866e-07
2.66,1.002673e-06
2.67,1.009983e-06
2.68,1.016196e-06
2.69,1.022811e-06
2.7,1.029369e-06
2.71,1.034622e-06
2.72,1.040504e-06
2.73,1.050961e-06
2.74,1.059094e-06
2.75,1.065442e-06
2.7600000000000002,1.070969e-06
2.77,1.077183e-06
2.7800000000000002,1.084124e-06
2.79,1.090533e-06
2.8000000000000003,1.096892e-06
2.81,1.102675e-06
2.82,1.109256e-06
2.83,1.115564e-06
2.84,1.121732e-06
2.85,1.128355e-06
2.86,1.134924e-06
2.87,1.141408e-06
2.88,1.147982e-06
2.89,1.155145e-06
2.9,1.161318e-06
2.91,1.167315e-06
2.92,1.174535e-06
2.93,1.181045e-06
2.94,1.187067e-06
2.95,1.193606e-06
2.96,1.200061e-06
2.97,1.206914e-06
2.98,1.215227e-06
2.99,1.220796e-06
3.0,1.226893e-06
3.0100000000000002,1.233685e-06
3.02,1.23993e-06
3.0300000000000002,1.245671e-06
3.04,1.250212e-06
3.0500000000000003,1.256868e-06
3.06,1.264714e-06
3.0700000000000003,1.27104e-06
3.08,1.276367e-06
3.09,1.282309e-06
3.1,1.289195e-06
3.11,1.295614e-06
3.12,1.301599e-06
3.13,1.307564e-06
3.14,1.314463e-06
3.15,1.320503e-06
3.16,1.327315e-06
3.17,1.334542e-06
3.18,1.341785e-06
3.19,1.346892e-06
3.2,1.353735e-06
3.21,1.359678e-06
3.22,1.366158e-06
3.23,1.37237e-06
3.24,1.378764e-06
3.25,1.385086e-06
3.2600000000000002,1.389515e-06
3.27,1.39528e-06
3.2800000000000002,1.401574e-06
3.29,1.407742e-06
3.3000000000000003,1.415664e-06
3.31,1.421502e-06
3.3200000000000003,1.427816e-06
3.33,1.433488e-06
3.34,1.439379e-06
3.35,1.445431e-06
3.36,1.449907e-06
3.37,1.457173e-06
3.38,1.463352e-06
3.39,1.467909e-06
3.4,1.473028e-06
3.41,1.479174e-06
3.42,1.485915e-06
3.43,1.490895e-06
3.44,1.497915e-06
3.45,1.503012e-06
3.46,1.509135e-06
3.47,1.513651e-06
3.48,1.519955e-06
3.49,1.526414e-06
3.5,1.530249e-06
3.5100000000000002,1.535804e-06
3.52,1.541507e-06
3.5300000000000002,1.545367e-06
3.54,1.552021e-06
3.5500000000000003,1.557395e-06
3.56,1.563395e-06
3.5700000000000003,1.568158e-06
3.58,1.57467e-06
3.59,1.579377e-06
3.6,1.584705e-06
3.61,1.588806e-06
3.62,1.59313e-06
3.63,1.598475e-06
3.64,1.604896e-06
3.65,1.609798e-06
3.66,1.614338e-06
3.67,1.61739e-06
3.68,1.621051e-06
3.69,1.627187e-06
3.7,1.63207e-06
3.71,1.635916e-06
3.72,1.640481e-06
3.73,1.644949e-06
3.74,1.650261e-06
3.75,1.654416e-06
3.7600000000000002,1.659743e-06
3.77,1.665565e-06
3.7800000000000002,1.668476e-06
3.79,1.675235e-06
3.8000000000000003,1.676747e-06
3.81,1.680971e-06
3.8200000000000003,1.686814e-06
3.83,1.690835e-06
3.84,1.695283e-06
3.85,1.699338e-06
3.86,1.702673e-06
3.87,1.707271e-06
3.88,1.712682e-06
3.89,1.715641e-06
3.9,1.719829e-06
3.91,1.722612e-06
3.92,1.730705e-06
3.93,1.734594e-06
3.94,1.737183e-06
3.95,1.742341e-06
3.96,1.745322e-06
3.97,1.748806e-06
3.98,1.75275e-06
3.99,1.757515e-06
4.0,1.760257e-06
4.01,1.767634e-06
4.0200000000000005,1.766743e-06
4.03,1.760398e-06
4.04,1.762458e-06
4.05,1.766535e-06
4.0600000000000005,1.770603e-06
4.07,1.770162e-06
4.08,1.777199e-06
4.09,1.778344e-06
4.1,1.784009e-06
4.11,1.785056e-06
4.12,1.785048e-06
4.13,1.790794e-06
4.14,1.793873e-06
4.15,1.797987e-06
4.16,1.80163e-06
4.17,1.803016e-06
4.18,1.805394e-06
4.19,1.808271e-06
4.2,1.811569e-06
4.21,1.814322e-06
4.22,1.816821e-06
4.23,1.817341e-06
4.24,1.82265e-06
4.25,1.827157e-06
4.26,1.830399e-06
4.2700000000000005,1.833334e-06
4.28,1.83612e-06
4.29,1.838916e-06
4.3,1.841127e-06
4.3100000000000005,1.843318e-06
4.32,1.847612e-06
4.33,1.844339e-06
4.34,1.850952e-06
4.3500000000000005,1.854663e-06
4.36,1.858317e-06
4.37,1.858494e-06
4.38,1.866287e-06
4.39,1.86933e-06
4.4,1.872903e-06
4.41,1.875047e-06
4.42,1.8806e-06
4.43,1.881787e-06
4.44,1.882319e-06
4.45,1.885723e-06
4.46,1.886246e-06
4.47,1.889448e-06
4.48,1.899064e-06
4.49,1.902895e-06
4.5,1.904016e-06
4.51,1.908157e-06
4.5200000000000005,1.909977e-06
4.53,1.916882e-06
4.54,1.92475e-06
4.55,1.927855e-06
4.5600000000000005,1.929012e-06
4.57,1.929231e-06
4.58,1.929321e-06
4.59,1.933169e-06
4.6000000000000005,1.936152e-06
4.61,1.937321e-06
