Voltage (V),Current (A)
0.0,-3.003736e-12
0.2,4.059673e-08
0.4,8.1722e-08
0.6000000000000001,1.237687e-07
0.8,1.661441e-07
1.0,2.088178e-07
1.2000000000000002,2.521519e-07
1.4000000000000001,2.95685e-07
1.6,3.38814e-07
1.8,3.816058e-07
2.0,4.240399e-07
2.2,4.653899e-07
2.4000000000000004,5.052858e-07
2.6,5.425623e-07
2.8000000000000003,5.771929e-07
3.0,6.076961e-07
3.2,6.353744e-07
3.4000000000000004,6.626352e-07
3.6,6.902499e-07
3.8000000000000003,7.187369e-07
4.0,7.472244e-07
4.2,7.768602e-07
4.4,8.070775e-07
4.6000000000000005,8.366067e-07
4.800000000000001,8.681928e-07
5.0,9.000834e-07
5.2,9.326662e-07
5.4,9.626368e-07
5.6000000000000005,1.013527e-06
5.800000000000001,1.048747e-06
6.0,1.08556e-06
6.2,1.123871e-06
6.4,1.161635e-06
6.6000000000000005,1.199947e-06
6.800000000000001,1.237913e-06
7.0,1.276374e-06
7.2,1.315899e-06
7.4,1.354993e-06
7.6000000000000005,1.395324e-06
7.800000000000001,1.434171e-06
8.0,1.476856e-06
8.200000000000001,1.514497e-06
8.4,1.559649e-06
8.6,1.601729e-06
8.8,1.641858e-06
9.0,1.68491e-06
9.200000000000001,1.725703e-06
9.4,1.765891e-06
9.600000000000001,1.80814e-06
9.8,1.852133e-06
10.0,1.893155e-06
10.200000000000001,1.936604e-06
10.4,1.980219e-06
10.600000000000001,2.019091e-06
10.8,2.06353e-06
11.0,2.102562e-06
11.200000000000001,2.149066e-06
11.4,2.187133e-06
11.600000000000001,2.228863e-06
11.8,2.275517e-06
12.0,2.318388e-06
12.0,2.331807e-06
11.8,2.312307e-06
11.600000000000001,2.288264e-06
11.400000000000002,2.264062e-06
11.200000000000003,2.239884e-06
11.000000000000004,2.214655e-06
10.800000000000004,2.194046e-06
10.600000000000005,2.183448e-06
10.400000000000006,2.154676e-06
10.200000000000006,2.13126e-06
10.000000000000007,2.108741e-06
9.800000000000008,2.081596e-06
9.600000000000009,2.051381e-06
9.40000000000001,2.023216e-06
9.20000000000001,1.993718e-06
9.00000000000001,1.96203e-06
8.800000000000011,1.928766e-06
8.600000000000012,1.901478e-06
8.400000000000013,1.866046e-06
8.200000000000014,1.833875e-06
8.000000000000014,1.800697e-06
7.800000000000015,1.766008e-06
7.600000000000016,1.730828e-06
7.400000000000016,1.693663e-06
7.200000000000017,1.654877e-06
7.000000000000018,1.617497e-06
6.8000000000000185,1.577863e-06
6.600000000000019,1.538674e-06
6.40000000000002,1.498481e-06
6.200000000000021,1.458427e-06
6.000000000000021,1.416785e-06
5.800000000000022,1.376508e-06
5.600000000000023,1.333405e-06
5.4000000000000234,1.289879e-06
5.200000000000024,1.24666e-06
5.000000000000025,1.200749e-06
4.800000000000026,1.155701e-06
4.600000000000026,1.110413e-06
